Age,U.S. stocks,Intl. stocks,U.S. nominal bonds,Short-term TIPS,Intl. nominal bonds (hedged)
20,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
21,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
22,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
23,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
24,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
25,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
26,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
27,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
28,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
29,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
30,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
31,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
32,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
33,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
34,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
35,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
36,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
37,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
38,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
39,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
40,54.0000%,36.0000%,7.0000%,0.0000%,3.0000%
41,52.9714%,35.3143%,8.2000%,0.0000%,3.5143%
42,51.9429%,34.6286%,9.4000%,0.0000%,4.0286%
43,50.9143%,33.9429%,10.6000%,0.0000%,4.5429%
44,49.8857%,33.2571%,11.8000%,0.0000%,5.0571%
45,48.8571%,32.5714%,13.0000%,0.0000%,5.5714%
46,47.8286%,31.8857%,14.2000%,0.0000%,6.0857%
47,46.8000%,31.2000%,15.4000%,0.0000%,6.6000%
48,45.7714%,30.5143%,16.6000%,0.0000%,7.1143%
49,44.7429%,29.8286%,17.8000%,0.0000%,7.6286%
50,43.7143%,29.1429%,19.0000%,0.0000%,8.1429%
51,42.6857%,28.4571%,20.2000%,0.0000%,8.6571%
52,41.6571%,27.7714%,21.4000%,0.0000%,9.1714%
53,40.6286%,27.0857%,22.6000%,0.0000%,9.6857%
54,39.6000%,26.4000%,23.8000%,0.0000%,10.2000%
55,38.5714%,25.7143%,25.0000%,0.0000%,10.7143%
56,37.5429%,25.0286%,26.2000%,0.0000%,11.2286%
57,36.5143%,24.3429%,27.4000%,0.0000%,11.7429%
58,35.4857%,23.6571%,28.6000%,0.0000%,12.2571%
59,34.4571%,22.9714%,29.8000%,0.0000%,12.7714%
60,33.4286%,22.2857%,31.0000%,0.0000%,13.2857%
61,32.4000%,21.6000%,30.5342%,1.6658%,13.8000%
62,31.3714%,20.9143%,30.1535%,3.2465%,14.3143%
63,30.3429%,20.2286%,29.8667%,4.7333%,14.8286%
64,29.3143%,19.5429%,29.6806%,6.1194%,15.3429%
65,28.2857%,18.8571%,29.6000%,7.4000%,15.8571%
66,27.2571%,18.1714%,29.6279%,8.5721%,16.3714%
67,26.2286%,17.4857%,29.7654%,9.6346%,16.8857%
68,25.2000%,16.8000%,30.0115%,10.5885%,17.4000%
69,24.1714%,16.1143%,30.3635%,11.4365%,17.9143%
70,23.1429%,15.4286%,30.8167%,12.1833%,18.4286%
71,22.1143%,14.7429%,31.3643%,12.8357%,18.9429%
72,21.0857%,14.0571%,31.9979%,13.4021%,19.4571%
73,20.0571%,13.3714%,32.7070%,13.8930%,19.9714%
74,19.0286%,12.6857%,33.4791%,14.3209%,20.4857%
75,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
76,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
77,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
78,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
79,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
80,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
81,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
82,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
83,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
84,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
85,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
86,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
87,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
88,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
89,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
90,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
91,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
92,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
93,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
94,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
95,18.0000%,12.0000%,34.3000%,14.7000%,21.0000%
